code,updated_at,roe,gross_margin,debt_ratio,revenue_growth,profit_growth
920015,2026-04-22,15.72,,48.5661,,-66.8446
688108,2026-04-22,-3.27,,15.9246,,-54.0042
605289,2026-04-22,0.19,,30.3596,,-63.3116
301080,2026-04-22,2.12,,2.7514,,31.7672
603586,2026-04-22,0.46,,25.4265,,385.1434
688205,2026-04-22,4.63,,25.541,,9.6619
603005,2026-04-22,2.33,,10.2929,,-26.7873
002382,2026-04-22,-0.5,,35.2527,,-103.0522
301525,2026-04-22,9.69,,58.736,,54.6193
603150,2026-04-22,2.83,,43.7958,,11.8444
920662,2026-04-22,3.61,,35.2289,,-0.8124
688260,2026-04-22,1.1,,49.7959,,-22.0943
600549,2026-04-22,3.89,,63.0354,,20.9669
300252,2026-04-22,0.34,,53.7555,,120.0462
001267,2026-04-22,0.44,,50.2231,,-55.8569
688012,2026-04-22,0.83,,16.8917,,-15.0319
002655,2026-04-22,2.99,,42.3391,,-22.224
605068,2026-04-22,0.97,,30.9703,,-76.5043
920971,2026-04-22,8.33,,32.5488,,8.6136
603806,2026-04-22,2.71,,12.4453,,-31.4766
300476,2026-04-22,3.13,,57.192,,10.7656
002912,2026-04-22,-3.37,,19.0402,,-541.3694
688083,2026-04-22,-0.7,,7.3049,,-440.7752
600496,2026-04-22,2.35,,58.2254,,36.0116
301282,2026-04-22,9.98,,63.7958,,9.5411
688249,2026-04-22,23.2,,53.437,,2163.8488
002156,2026-04-22,1.56,,61.7917,,-0.4885
300050,2026-04-22,0.68,,34.4335,,-286.2964
688502,2026-04-22,7.95,,36.5525,,24.599
300936,2026-04-22,0.82,,5.7013,,-19.7064
300199,2026-04-22,-3.7,,58.0258,,-348.1253
300990,2026-04-22,1.33,,7.3712,,-27.0715
301528,2026-04-22,8.34,,10.8243,,40.3912
002536,2026-04-22,0.38,,48.606,,-89.2178
688181,2026-04-22,3.35,,14.4027,,29.7131
002475,2026-04-22,4.84,,61.5011,,53.2654
002463,2026-04-22,3.35,,38.1897,,13.0415
601007,2026-04-22,-0.6,,41.2025,,-62.2926
688326,2026-04-22,-2.12,,67.2679,,-198.159
688625,2026-04-22,4.83,,22.368,,27.9167
603882,2026-04-22,11.83,,40.7073,,64.3352
002283,2026-04-22,1.67,,33.3542,,-45.6792
300049,2026-04-22,0.57,,27.7313,,-2.8549
688032,2026-04-22,1.44,,6.1926,,175.233
